cluster,depth_start_m,depth_end_m,vp_mean_ms,vs_mean_ms,n_points
1,101.77,146.55,1702.8,925.1,45
2,147.56,362.29,2541.1,1090.3,212
3,363.31,500.70,2950.8,1338.3,136
4,501.71,623.84,3688.1,1857.4,121
5,624.85,697.11,4102.1,2209.1,72
6,698.13,752.06,4098.7,2177.1,54
7,753.08,793.79,3969.0,2281.8,41
8,794.80,839.58,4319.4,2570.2,45
9,840.60,916.93,5047.5,2994.9,76
10,917.94,950.00,5252.3,3119.1,11
