cluster,depth_start_m,depth_end_m,vp_mean_ms,vs_mean_ms,n_points
1,101.77,125.17,1641.5,887.4,24
2,126.19,146.55,1772.9,968.1,21
3,147.56,166.90,2097.1,1021.6,20
4,167.92,227.96,2528.4,1073.2,60
5,228.98,340.92,2599.5,1094.8,111
6,341.94,362.29,2691.4,1181.1,21
7,363.31,478.31,2928.9,1315.6,114
8,479.33,500.70,3064.4,1456.0,22
9,501.71,531.23,3221.4,1594.0,30
10,532.24,552.60,3533.2,1736.1,21
11,553.62,623.84,3934.5,2006.8,70
12,624.85,697.11,4102.1,2209.1,72
13,698.13,728.66,4078.3,2158.6,31
14,729.67,754.10,4124.5,2202.3,25
15,755.12,793.79,3962.0,2285.7,39
16,794.80,815.16,4045.6,2416.1,21
17,816.18,839.58,4558.9,2705.1,24
18,840.60,873.17,4976.1,2943.8,33
19,874.18,916.93,5102.2,3034.2,43
20,917.94,950.00,5252.3,3119.1,11
