ch_id	lat	lon	depth
222	40.82126776	14.17212352	0
223	40.82129659	14.17209921	0
224	40.82132552	14.17207501	0
225	40.82135444	14.17205082	0
226	40.82138336	14.17202662	0
227	40.82141220	14.17200231	0
228	40.82144112	14.17197811	0
229	40.82147004	14.17195392	0
230	40.82149888	14.17192973	0
231	40.82153675	14.17189795	0
232	40.82157463	14.17186617	0
233	40.82161251	14.17183440	0
234	40.82165039	14.17180274	0
235	40.82168826	14.17177096	0
236	40.82172614	14.17173918	0
237	40.82176402	14.17170741	0
238	40.82180190	14.17167575	0
239	40.82183977	14.17164397	0
240	40.82187765	14.17161219	0
241	40.82191553	14.17158042	0
242	40.82195341	14.17154876	0
243	40.82199128	14.17151698	0
244	40.82202916	14.17148520	0
245	40.82206704	14.17145342	0
246	40.82210492	14.17142165	0
247	40.82214279	14.17138999	0
248	40.82218067	14.17135821	0
249	40.82221846	14.17132643	0
250	40.82225634	14.17129466	0
251	40.82229421	14.17126300	0
252	40.82233209	14.17123122	0
253	40.82236997	14.17119944	0
254	40.82240785	14.17116766	0
255	40.82244572	14.17113600	0
256	40.82248360	14.17110423	0
257	40.82252148	14.17107245	0
258	40.82255935	14.17104067	0
259	40.82259723	14.17100901	0
260	40.82263511	14.17097723	0
261	40.82267299	14.17094545	0
262	40.82271086	14.17091368	0
263	40.82274874	14.17088202	0
264	40.82278662	14.17085024	0
265	40.82282450	14.17081846	0
266	40.82286237	14.17078668	0
267	40.82290025	14.17075502	0
268	40.82293813	14.17072324	0
269	40.82297591	14.17069147	0
270	40.82301379	14.17065969	0
271	40.82305167	14.17062803	0
272	40.82308955	14.17059625	0
273	40.82312742	14.17056447	0
274	40.82316530	14.17053269	0
275	40.82320318	14.17050103	0
276	40.82324106	14.17046926	0
277	40.82327893	14.17043748	0
278	40.82331681	14.17040570	0
279	40.82335469	14.17037404	0
280	40.82339230	14.17034250	0
281	40.82342990	14.17031096	0
289	40.82346751	14.17027942	0
290	40.82350512	14.17024788	0
291	40.82354273	14.17021635	0
292	40.82358034	14.17018481	0
293	40.82361795	14.17015327	0
294	40.82365564	14.17012173	0
295	40.82368936	14.17008739	0
296	40.82368993	14.17002869	0
297	40.82369050	14.16996998	0
298	40.82369097	14.16991127	0
299	40.82369154	14.16985257	0
300	40.82369211	14.16979386	0
301	40.82369259	14.16973515	0
302	40.82369316	14.16967644	0
303	40.82369373	14.16961774	0
304	40.82369420	14.16955903	0
305	40.82369477	14.16950044	0
306	40.82369534	14.16944173	0
307	40.82369952	14.16938346	0
308	40.82370703	14.16932561	0
309	40.82371463	14.16926776	0
310	40.82372223	14.16920992	0
311	40.82372983	14.16915207	0
312	40.82373734	14.16909423	0
313	40.82374494	14.16903626	0
314	40.82375290	14.16897853	0
315	40.82376547	14.16892228	0
316	40.82377804	14.16886591	0
317	40.82379060	14.16880954	0
318	40.82380308	14.16875330	0
319	40.82381564	14.16869693	0
