%iDASCh East	North   IntDist CumDist
 192 430121.31 4519190.03 4.74 689.04
 193 430125.93 4519191.13 4.74 693.78
 194 430130.54 4519192.23 4.74 698.53
 195 430135.15 4519193.33 4.74 703.27
 196 430139.77 4519194.43 4.74 708.01
 197 430144.38 4519195.54 4.74 712.76
 198 430149.00 4519196.64 4.74 717.50
 199 430153.61 4519197.74 4.74 722.25
 200 430158.22 4519198.84 4.74 726.99
 201 430162.84 4519199.94 4.74 731.73
 202 430167.45 4519201.04 4.74 736.48
 203 430172.07 4519202.14 4.74 741.22
 204 430176.68 4519203.24 4.74 745.96
 205 430181.30 4519204.35 4.74 750.71
 206 430185.91 4519205.45 4.74 755.45
 207 430190.52 4519206.55 4.74 760.20
 208 430195.14 4519207.65 4.74 764.94
 209 430199.75 4519208.75 4.74 769.68
 210 430204.37 4519209.85 4.74 774.43
 211 430208.07 4519210.74 3.80 778.23
 212 430206.34 4519213.85 3.56 781.79
 213 430204.33 4519217.07 3.80 785.59
 214 430202.32 4519220.30 3.80 789.39
 215 430200.30 4519223.53 3.80 793.20
 216 430198.29 4519226.75 3.80 797.00
 217 430196.28 4519229.98 3.80 800.80
 218 430194.27 4519233.21 3.80 804.61
 219 430192.25 4519236.44 3.80 808.41
 220 430190.24 4519239.66 3.80 812.21
 221 430188.23 4519242.89 3.80 816.02
 222 430186.22 4519246.12 3.80 819.82
 223 430184.20 4519249.34 3.80 823.62
 224 430182.19 4519252.57 3.80 827.43
 225 430180.18 4519255.80 3.80 831.23
 226 430178.17 4519259.03 3.80 835.03
 227 430176.15 4519262.25 3.80 838.84
 228 430174.14 4519265.48 3.80 842.64
 229 430172.13 4519268.71 3.80 846.44
 230 430170.12 4519271.93 3.80 850.24
 231 430167.48 4519276.16 4.98 855.23
 232 430164.84 4519280.39 4.98 860.21
 233 430162.20 4519284.62 4.98 865.20
 234 430159.57 4519288.85 4.98 870.18
 235 430156.93 4519293.08 4.98 875.17
 236 430154.29 4519297.31 4.98 880.15
 237 430151.65 4519301.54 4.98 885.14
 238 430149.02 4519305.77 4.98 890.12
 239 430146.38 4519310.00 4.98 895.11
 240 430143.74 4519314.23 4.98 900.09
 241 430141.10 4519318.46 4.98 905.07
 242 430138.47 4519322.69 4.98 910.06
 243 430135.83 4519326.92 4.98 915.04
 244 430133.19 4519331.15 4.98 920.03
 245 430130.55 4519335.38 4.98 925.01
 246 430127.91 4519339.61 4.98 930.00
 247 430125.28 4519343.84 4.98 934.98
 248 430122.64 4519348.07 4.98 939.97
 249 430120.00 4519352.29 4.98 944.95
 250 430117.36 4519356.52 4.98 949.93
 251 430114.73 4519360.75 4.98 954.92
 252 430112.09 4519364.98 4.98 959.90
 253 430109.45 4519369.21 4.98 964.89
 254 430106.81 4519373.44 4.98 969.87
 255 430104.18 4519377.67 4.98 974.86
 256 430101.54 4519381.90 4.98 979.84
 257 430098.90 4519386.13 4.98 984.83
 258 430096.26 4519390.36 4.98 989.81
 259 430093.63 4519394.59 4.98 994.80
 260 430090.99 4519398.82 4.98 999.78
 261 430088.35 4519403.05 4.98 1004.76
 262 430085.71 4519407.28 4.98 1009.75
 263 430083.08 4519411.51 4.98 1014.73
 264 430080.44 4519415.74 4.98 1019.72
 265 430077.80 4519419.97 4.98 1024.70
 266 430075.16 4519424.20 4.98 1029.69
 267 430072.53 4519428.43 4.98 1034.67
 268 430069.89 4519432.66 4.98 1039.66
 269 430067.25 4519436.88 4.98 1044.64
 270 430064.61 4519441.11 4.98 1049.62
 271 430061.98 4519445.34 4.98 1054.61
 272 430059.34 4519449.57 4.98 1059.59
 273 430056.70 4519453.80 4.98 1064.58
 274 430054.06 4519458.03 4.98 1069.56
 275 430051.43 4519462.26 4.98 1074.55
 276 430048.79 4519466.49 4.98 1079.53
 277 430046.15 4519470.72 4.98 1084.52
 278 430043.51 4519474.95 4.98 1089.50
 279 430040.88 4519479.18 4.98 1094.48
 280 430038.26 4519483.38 4.95 1099.44
 281 430035.64 4519487.58 4.95 1104.39
 289 430033.02 4519491.78 4.95 1109.34
 290 430030.40 4519495.98 4.95 1114.29
 291 430027.78 4519500.18 4.95 1119.24
 292 430025.16 4519504.38 4.95 1124.19
 293 430022.54 4519508.58 4.95 1129.14
 294 430019.92 4519512.79 4.95 1134.09
 295 430017.06 4519516.56 4.74 1138.83
 296 430012.11 4519516.67 4.95 1143.78
 297 430007.16 4519516.78 4.95 1148.73
 298 430002.21 4519516.88 4.95 1153.68
 299 429997.26 4519516.99 4.95 1158.63
 300 429992.31 4519517.10 4.95 1163.58
 301 429987.36 4519517.20 4.95 1168.53
 302 429982.41 4519517.31 4.95 1173.48
 303 429977.46 4519517.42 4.95 1178.43
 304 429972.51 4519517.52 4.95 1183.38
 305 429967.57 4519517.63 4.95 1188.33
 306 429962.62 4519517.74 4.95 1193.28
 307 429957.71 4519518.25 4.94 1198.22
 308 429952.84 4519519.13 4.95 1203.17
 309 429947.97 4519520.02 4.95 1208.12
 310 429943.10 4519520.91 4.95 1213.07
 311 429938.23 4519521.80 4.95 1218.02
 312 429933.36 4519522.68 4.95 1222.97
 313 429928.48 4519523.57 4.95 1227.92
 314 429923.62 4519524.50 4.95 1232.87
 315 429918.89 4519525.94 4.95 1237.82
 316 429914.15 4519527.38 4.95 1242.77
 317 429909.41 4519528.82 4.95 1247.72
 318 429904.68 4519530.25 4.95 1252.67
 319 429899.94 4519531.69 4.95 1257.62
 320 429895.20 4519533.13 4.95 1262.57
 321 429890.47 4519534.57 4.95 1267.52
 322 429885.73 4519536.01 4.95 1272.48
 323 429880.99 4519537.44 4.95 1277.43
 324 429876.25 4519538.88 4.95 1282.38
 325 429871.52 4519540.32 4.95 1287.33
 326 429866.78 4519541.76 4.95 1292.28
 327 429862.04 4519543.20 4.95 1297.23
 328 429857.31 4519544.64 4.95 1302.18
 329 429852.57 4519546.07 4.95 1307.13
 330 429847.83 4519547.51 4.95 1312.08
 331 429843.09 4519548.92 4.95 1317.03
 332 429838.33 4519550.31 4.95 1321.98
 333 429833.58 4519551.70 4.95 1326.93
 334 429828.83 4519553.10 4.95 1331.88
 335 429824.08 4519554.49 4.95 1336.83
 336 429819.33 4519555.88 4.95 1341.78
 337 429814.58 4519557.27 4.95 1346.73
 338 429809.83 4519558.66 4.95 1351.68
 339 429805.08 4519560.06 4.95 1356.63
 340 429800.33 4519561.45 4.95 1361.59
 341 429795.58 4519562.84 4.95 1366.54
 342 429790.83 4519564.23 4.95 1371.49
 343 429786.08 4519565.62 4.95 1376.44
 344 429781.33 4519567.02 4.95 1381.39
 345 429776.57 4519568.41 4.95 1386.34
 346 429771.82 4519569.80 4.95 1391.29
 347 429767.07 4519571.19 4.95 1396.24
 348 429762.31 4519572.53 4.95 1401.19
 349 429757.47 4519573.58 4.95 1406.14
 350 429752.63 4519574.63 4.95 1411.09
 351 429747.80 4519575.69 4.95 1416.04
 352 429742.96 4519576.74 4.95 1420.99
 353 429738.12 4519577.79 4.95 1425.94
 354 429733.28 4519578.84 4.95 1430.89
 355 429728.45 4519579.90 4.95 1435.84
 356 429723.61 4519580.95 4.95 1440.79
 357 429718.77 4519582.00 4.95 1445.74
 358 429713.93 4519583.05 4.95 1450.69
 359 429709.10 4519584.11 4.95 1455.64
 360 429704.26 4519585.16 4.95 1460.59
 361 429699.42 4519586.21 4.95 1465.55
 362 429694.58 4519587.27 4.95 1470.50
 363 429689.75 4519588.32 4.95 1475.45
 364 429684.91 4519589.37 4.95 1480.40
 365 429680.07 4519590.42 4.95 1485.35
 366 429675.24 4519591.48 4.95 1490.30
 367 429670.40 4519592.53 4.95 1495.25
 368 429665.56 4519593.58 4.95 1500.20
 369 429660.72 4519594.63 4.95 1505.15
 370 429655.84 4519595.33 4.94 1510.09
 371 429650.90 4519595.64 4.95 1515.04
 372 429645.96 4519595.96 4.95 1519.99
 373 429641.01 4519596.27 4.95 1524.94
 374 429636.07 4519596.59 4.95 1529.89
 375 429631.13 4519596.90 4.95 1534.84
 376 429626.19 4519597.22 4.95 1539.79
 377 429621.25 4519597.53 4.95 1544.74
 378 429616.31 4519597.84 4.95 1549.69
 379 429611.37 4519598.16 4.95 1554.64
 380 429606.43 4519598.47 4.95 1559.59
 381 429601.49 4519598.79 4.95 1564.54
 382 429596.55 4519599.10 4.95 1569.49
 383 429591.61 4519599.41 4.95 1574.44
 384 429586.67 4519599.73 4.95 1579.39
 385 429581.73 4519600.04 4.95 1584.34
 386 429576.79 4519600.36 4.95 1589.30
 395 429571.85 4519600.67 4.95 1594.25
 396 429566.91 4519600.98 4.95 1599.20
 397 429561.97 4519601.30 4.95 1604.15
 398 429557.02 4519601.60 4.95 1609.10
 399 429552.07 4519601.60 4.95 1614.05
 400 429547.12 4519601.61 4.95 1619.00
 401 429542.17 4519601.61 4.95 1623.95
 402 429537.22 4519601.62 4.95 1628.90
 403 429532.27 4519601.63 4.95 1633.85
 404 429527.32 4519601.63 4.95 1638.80
 405 429522.37 4519601.64 4.95 1643.75
 406 429517.42 4519601.65 4.95 1648.70
 407 429512.47 4519601.65 4.95 1653.65
 408 429507.52 4519601.66 4.95 1658.60
 409 429502.57 4519601.67 4.95 1663.55
 410 429497.62 4519601.67 4.95 1668.50
 411 429492.67 4519601.68 4.95 1673.45
 412 429487.72 4519601.68 4.95 1678.40
 413 429482.77 4519601.69 4.95 1683.36
 414 429477.82 4519601.70 4.95 1688.31
 415 429472.86 4519601.70 4.95 1693.26
 416 429467.91 4519601.71 4.95 1698.21
 417 429463.01 4519601.04 4.95 1703.16
 418 429458.11 4519600.35 4.95 1708.11
 419 429453.21 4519599.65 4.95 1713.06
 420 429448.31 4519598.95 4.95 1718.01
